integrator,rtol,atol,energy_rtol,energy_atol,status,reference,time_sec,species_rel_error,thermo_rel_error,max_rel_error
sandu-b,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,PASS,7.822964949,3.915860416006401e-05,1.0607015343674538e-06,3.915860416006401e-05
sandu-c,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,PASS,6.929617905,0.00012327913241649022,1.7489269063165433e-05,0.00012327913241649022
sandu-d,0.0010207847284895003,nan,1.0207847284895003e-05,nan,PASS,PASS,6.122376362,1.1820713834879086e-05,1.3629453415171375e-06,1.1820713834879086e-05
ros2s,0.0007368062997280774,nan,7.368062997280775e-06,nan,PASS,FAIL,5.342957964,0.0022687073774673356,0.0003688870351236773,0.0022687073774673356
ros2,0.0007368062997280774,nan,7.368062997280775e-06,nan,PASS,PASS,11.961811745,0.00015059097842543852,4.483699418864314e-06,0.00015059097842543852
sandu-a,0.0007368062997280774,nan,7.368062997280775e-06,nan,PASS,PASS,9.419199736,2.15637232284894e-05,2.9533862854905565e-07,2.15637232284894e-05
sandu-b,0.0007368062997280774,nan,7.368062997280775e-06,nan,PASS,PASS,9.507470967,2.235070454326606e-05,7.647171177353283e-07,2.235070454326606e-05
sandu-c,0.0007368062997280774,nan,7.368062997280775e-06,nan,PASS,PASS,8.364732038,8.277908281004151e-05,1.2614482490011784e-05,8.277908281004151e-05
sandu-d,0.0007368062997280774,nan,7.368062997280775e-06,nan,PASS,PASS,7.602326097,1.0389327447609407e-05,1.0619099950026365e-06,1.0389327447609407e-05
ros2s,0.0005318295896944989,nan,5.318295896944989e-06,nan,PASS,FAIL,5.850193461,0.0004906616428708367,8.95911053216869e-05,0.0004906616428708367
ros2,0.0005318295896944989,nan,5.318295896944989e-06,nan,PASS,PASS,14.0989133,8.27760963330211e-05,1.1228043581974541e-05,8.27760963330211e-05
sandu-a,0.0005318295896944989,nan,5.318295896944989e-06,nan,PASS,PASS,14.932897407,1.593005832611605e-05,1.2336865541680585e-07,1.593005832611605e-05
sandu-b,0.0005318295896944989,nan,5.318295896944989e-06,nan,PASS,PASS,11.735627724,1.965252599724077e-05,8.970341149758838e-07,1.965252599724077e-05
sandu-c,0.0005318295896944989,nan,5.318295896944989e-06,nan,PASS,PASS,9.85719164,9.47757973784857e-06,1.2634128950456234e-06,9.47757973784857e-06
sandu-d,0.0005318295896944989,nan,5.318295896944989e-06,nan,PASS,PASS,10.780386754,9.269671462650711e-06,7.519204938631951e-07,9.269671462650711e-06
ros2s,0.0003838766207332969,nan,3.838766207332969e-06,nan,PASS,FAIL,6.29104893,0.0006164218575509188,0.00010136373880606027,0.0006164218575509188
ros2,0.0003838766207332969,nan,3.838766207332969e-06,nan,PASS,PASS,18.966153018,3.6690396521685504e-05,5.988873021873544e-07,3.6690396521685504e-05
sandu-a,0.0003838766207332969,nan,3.838766207332969e-06,nan,PASS,PASS,13.693192586,9.146925068782986e-06,8.896031987665615e-08,9.146925068782986e-06
sandu-b,0.0003838766207332969,nan,3.838766207332969e-06,nan,PASS,PASS,13.733256158,1.0176483591712987e-05,5.73428789776652e-07,1.0176483591712987e-05
sandu-c,0.0003838766207332969,nan,3.838766207332969e-06,nan,PASS,PASS,11.607318385,3.6313293591591274e-05,1.9901228697104494e-06,3.6313293591591274e-05
sandu-d,0.0003838766207332969,nan,3.838766207332969e-06,nan,PASS,PASS,10.00507085,5.997226836732609e-06,1.4003576605622443e-07,5.997226836732609e-06
ros2s,0.0002770836049762948,nan,2.7708360497629484e-06,nan,PASS,PASS,6.970878652,0.00039562388093189655,7.224276788281893e-05,0.00039562388093189655
ros2,0.0002770836049762948,nan,2.7708360497629484e-06,nan,PASS,PASS,27.911199917,2.4817103115119446e-05,1.2688196255582694e-06,2.4817103115119446e-05
sandu-a,0.0002770836049762948,nan,2.7708360497629484e-06,nan,PASS,PASS,16.607018849,5.9884804322296735e-06,1.4941391385201071e-07,5.9884804322296735e-06
sandu-b,0.0002770836049762948,nan,2.7708360497629484e-06,nan,PASS,PASS,18.058611676,8.539200024221872e-06,2.16734223362424e-07,8.539200024221872e-06
sandu-c,0.0002770836049762948,nan,2.7708360497629484e-06,nan,PASS,PASS,13.806882264,2.7194233789573527e-05,5.558264980167871e-06,2.7194233789573527e-05
sandu-d,0.0002770836049762948,nan,2.7708360497629484e-06,nan,PASS,PASS,11.771086391,5.493205859141762e-06,6.698735043949958e-07,5.493205859141762e-06
ros2s,0.00020000000000000004,nan,2.0000000000000003e-06,nan,PASS,PASS,7.736790717,9.703925280192688e-05,1.3112050462716717e-05,9.703925280192688e-05
ros2,0.00020000000000000004,nan,2.0000000000000003e-06,nan,PASS,PASS,23.544405779,1.6741864574789793e-05,3.8749028908599505e-07,1.6741864574789793e-05
sandu-a,0.00020000000000000004,nan,2.0000000000000003e-06,nan,PASS,PASS,27.096283897,6.717794468426899e-06,6.333336231089928e-08,6.717794468426899e-06
sandu-b,0.00020000000000000004,nan,2.0000000000000003e-06,nan,PASS,PASS,20.750131358,2.8572123041703566e-06,1.8388219435516853e-07,2.8572123041703566e-06
sandu-c,0.00020000000000000004,nan,2.0000000000000003e-06,nan,PASS,PASS,16.65865441,2.225870430908821e-05,5.156753440092189e-07,2.225870430908821e-05
sandu-d,0.00020000000000000004,nan,2.0000000000000003e-06,nan,PASS,PASS,14.198329236,3.0499479821493357e-06,3.22930005997141e-07,3.0499479821493357e-06
