integrator,rtol,atol,energy_rtol,energy_atol,status,reference,time_sec,species_rel_error,thermo_rel_error,max_rel_error
ros2s,0.0006812920690579609,nan,6.8129206905796085e-06,nan,PASS,FAIL,5.746705554,0.0010043817565706394,0.0001279457905986336,0.0010043817565706394
ros2,0.0006812920690579609,nan,6.8129206905796085e-06,nan,PASS,PASS,13.150982576,0.00012292436361725502,1.023953644050591e-06,0.00012292436361725502
sandu-a,0.0006812920690579609,nan,6.8129206905796085e-06,nan,PASS,PASS,10.40852063,1.6883502155534505e-05,2.4860537931928035e-07,1.6883502155534505e-05
sandu-b,0.0006812920690579609,nan,6.8129206905796085e-06,nan,PASS,PASS,11.096589702,2.4679932596105825e-05,7.889081183800084e-07,2.4679932596105825e-05
sandu-c,0.0006812920690579609,nan,6.8129206905796085e-06,nan,PASS,PASS,9.143601724,3.3805930151014295e-05,8.90023723047227e-06,3.3805930151014295e-05
sandu-d,0.0006812920690579609,nan,6.8129206905796085e-06,nan,PASS,PASS,8.311560826,9.808686664210669e-06,1.3346865731875539e-06,9.808686664210669e-06
ros2s,0.0004641588833612782,nan,4.641588833612782e-06,nan,PASS,PASS,6.347259195,0.00010701128513024547,1.632317944379792e-06,0.00010701128513024547
ros2,0.0004641588833612782,nan,4.641588833612782e-06,nan,PASS,PASS,15.833134127,6.521154003513743e-05,4.623015537313279e-06,6.521154003513743e-05
sandu-a,0.0004641588833612782,nan,4.641588833612782e-06,nan,PASS,PASS,14.95070855,9.195985741699222e-06,1.3786869611635986e-07,9.195985741699222e-06
sandu-b,0.0004641588833612782,nan,4.641588833612782e-06,nan,PASS,PASS,13.042032325,1.6570040174689546e-05,7.936886844410544e-07,1.6570040174689546e-05
sandu-c,0.0004641588833612782,nan,4.641588833612782e-06,nan,PASS,PASS,11.052934303,2.982457719673997e-05,1.3805532175689664e-06,2.982457719673997e-05
sandu-d,0.0004641588833612782,nan,4.641588833612782e-06,nan,PASS,PASS,9.796150725,6.315103777185965e-06,5.955007137380959e-07,6.315103777185965e-06
ros2s,0.00031622776601683794,nan,3.1622776601683796e-06,nan,PASS,FAIL,6.970382616,0.000802869789797252,0.00013621555256960059,0.000802869789797252
ros2,0.00031622776601683794,nan,3.1622776601683796e-06,nan,PASS,PASS,19.274626177,3.801379356582377e-05,5.808481562262086e-06,3.801379356582377e-05
sandu-a,0.00031622776601683794,nan,3.1622776601683796e-06,nan,PASS,PASS,16.082880037,6.3232602468738035e-06,1.847524769862152e-07,6.3232602468738035e-06
sandu-b,0.00031622776601683794,nan,3.1622776601683796e-06,nan,PASS,PASS,16.321253098,8.95836922216742e-06,3.2720543547478144e-07,8.95836922216742e-06
sandu-c,0.00031622776601683794,nan,3.1622776601683796e-06,nan,PASS,PASS,13.403469311,1.5925138667374737e-05,1.5977741231768696e-07,1.5925138667374737e-05
sandu-d,0.00031622776601683794,nan,3.1622776601683796e-06,nan,PASS,PASS,11.832014036,4.053149369970852e-06,4.0702530557454623e-07,4.053149369970852e-06
ros2s,0.00021544346900318823,nan,2.1544346900318822e-06,nan,PASS,PASS,7.959820383,0.00013582368077050204,2.5813399135289295e-05,0.00013582368077050204
ros2,0.00021544346900318823,nan,2.1544346900318822e-06,nan,PASS,PASS,22.482660868,1.8916152191425735e-05,8.267749791230435e-07,1.8916152191425735e-05
sandu-a,0.00021544346900318823,nan,2.1544346900318822e-06,nan,PASS,PASS,21.028290106,3.5750483589293742e-06,9.407108308067067e-08,3.5750483589293742e-06
sandu-b,0.00021544346900318823,nan,2.1544346900318822e-06,nan,PASS,PASS,20.819230676,4.459980837913712e-06,3.7459321128364886e-07,4.459980837913712e-06
sandu-c,0.00021544346900318823,nan,2.1544346900318822e-06,nan,PASS,PASS,16.661857918,7.177937445382424e-06,3.7168806647458575e-06,7.177937445382424e-06
sandu-d,0.00021544346900318823,nan,2.1544346900318822e-06,nan,PASS,PASS,14.457058847,3.845929274175069e-06,4.384604524901396e-07,3.845929274175069e-06
ros2s,0.00014677992676220705,nan,1.4677992676220707e-06,nan,PASS,PASS,9.081097504,8.888393032475859e-05,1.4908196138769492e-05,8.888393032475859e-05
ros2,0.00014677992676220705,nan,1.4677992676220707e-06,nan,PASS,PASS,29.439790438,9.491345855493585e-06,3.138136558807137e-06,9.491345855493585e-06
